,Unnamed: 0,5_angelo,ERCZO ID_angelo,Original Sample Vial Label_angelo,Date Collected,Time Collected_angelo,Site_angelo,Location_angelo,Sample Type_angelo,Sample Type II_angelo,Tree Tag_angelo,Tree tag_angelo,Tree tag 2_angelo,Jasper's tree label_angelo,More text info 1_angelo,More text info 2_angelo,needs attention_angelo,Species (common)_angelo,Species (scientific)_angelo,Well water level (m)_angelo,Depth (m)_angelo,Depth (cm)_angelo,Depth (ft)_angelo,Gravimetric moisture content (g/g)_angelo,Collected by_angelo,Notes_angelo,Exclude?_angelo,dD Instrument_angelo,dO Instrument_angelo,HD run ID_angelo,dD_angelo,GB run ID_angelo,dO_angelo,Sample Vial Location_angelo,VMS Sleeve_angelo,VMS Port_angelo,Adjacent well groundwater depth at time of sampling (m)_angelo,Energetic State_angelo,Date collection started_angelo,Time collection started_angelo,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_angelo","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_angelo",FLAG_angelo,datetime_angelo,5_conger,ERCZO ID_conger,Original Sample Vial Label_conger,Time Collected_conger,Site_conger,Location_conger,Sample Type_conger,Sample Type II_conger,Tree Tag_conger,Tree tag_conger,Tree tag 2_conger,Jasper's tree label_conger,More text info 1_conger,More text info 2_conger,needs attention_conger,Species (common)_conger,Species (scientific)_conger,Well water level (m)_conger,Depth (m)_conger,Depth (cm)_conger,Depth (ft)_conger,Gravimetric moisture content (g/g)_conger,Collected by_conger,Notes_conger,Exclude?_conger,dD Instrument_conger,dO Instrument_conger,HD run ID_conger,dD_conger,GB run ID_conger,dO_conger,Sample Vial Location_conger,VMS Sleeve_conger,VMS Port_conger,Adjacent well groundwater depth at time of sampling (m)_conger,Energetic State_conger,Date collection started_conger,Time collection started_conger,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_conger","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_conger",FLAG_conger,datetime_conger,average_time_delta,average_datetime,average_dD,average_dO,cumRain,cumWYRain,cumSept_1_WYRain,waterYear,Sept_1_waterYear,previousRain,runningWeightedAvg_dD,runningWeightedAvg_dO,Unnamed: 0_angelo,Extraction Method_angelo,Unnamed: 0_conger,Extraction Method_conger
295,12,513.0,514.0,A264-1,10/18/15,11:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-30.5,643,-3.93,2,,,,,,,,,0.0,2015-10-18 11:30:00,514.0,515.0,C264-1,14:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-18.0,643,-2.58,2,,,,,,,,,0.0,2015-10-18 14:00:00,-1 days +22:45:00,2015-10-18 10:15:00,-24.25,-3.255,12029.287599999916,5.308600000000001,47.498000000000005,2016.0,2016.0,5.30859999999484,-24.25,-3.255,,,,
296,1,330.0,331.0,A265-1,11/6/15,10:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,472,-44.8,639,-6.99,3,,,,,,,,,0.0,2015-11-06 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-06 10:35:00,0 days 00:00:00,2015-11-06 10:35:00,-44.8,-6.99,12053.595399999906,29.6164,71.8058,2016.0,2016.0,24.307799999989584,-41.11650943396391,-6.320518867924827,,,,
297,1079,7964.0,5374.0,"A 20151106 A265-1,3 1035",11/6/2015,10:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,591,-16.9,759,2.24,,,,,,,,,,,2015-11-06 10:35:00,7972.0,5382.0,C 20151106 C265-3 1030,10:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,591,5.4,759,8.54,,,,,,,,,,,2015-11-06 10:30:00,0 days 00:02:30,2015-11-06 10:37:30,-5.749999999999999,5.39,12053.595399999906,29.6164,71.8058,2016.0,2016.0,0.0,-41.11650943396391,-6.320518867924827,,,,
298,1081,7968.0,5378.0,A 20151109 A266-3 1505,11/9/2015,15:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,591,-31.5,759,-3.88,,,,,,,,,,,2015-11-09 15:05:00,7965.0,5375.0,C 20151109 C266-3 1510,15:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,591,-33.8,759,-6.27,,,,,,,,,,,2015-11-09 15:10:00,-1 days +23:57:30,2015-11-09 15:02:30,-32.65,-5.074999999999999,12099.416999999905,75.438,117.6274,2016.0,2016.0,45.82159999999931,-35.9738888888885,-5.563981481481447,,,,
299,0,329.0,330.0,A266-1,11/9/15,15:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,472,-47.6,639,-8.73,3,,,,,,,,,0.0,2015-11-09 15:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-09 15:05:00,0 days 00:00:00,2015-11-09 15:05:00,-47.6,-8.73,12099.416999999905,75.438,117.6274,2016.0,2016.0,0.0,-35.9738888888885,-5.563981481481447,,,,
300,2,331.0,332.0,A267-1,11/15/15,11:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,472,-71.5,639,-11.37,3,,,,,,,,,0.0,2015-11-15 11:05:00,7977.0,5387.0,C 20151115 C267-3 1130,11:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,591,-50.5,759,-6.48,,,,,,,,,,,2015-11-15 11:30:00,-1 days +23:47:30,2015-11-15 10:52:30,-61.0,-8.925,12132.10679999991,108.1278,150.3172,2016.0,2016.0,32.68980000000556,-43.53992248062192,-6.580103359173376,,,,
301,1075,7957.0,5367.0,A 20151115 A267-3 1135,11/15/2015,11:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,591,-45.1,759,-3.72,,,,,,,,,,,2015-11-15 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-15 11:35:00,0 days 00:00:00,2015-11-15 11:35:00,-45.1,-3.72,12132.10679999991,108.1278,150.3172,2016.0,2016.0,0.0,-43.53992248062192,-6.580103359173376,,,,
302,13,515.0,516.0,A268-1,11/24/15,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-38.4,643,-7.57,2,,,,,,,,,0.0,2015-11-24 12:00:00,516.0,517.0,C268-1,11:45,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-35.2,643,-7.02,2,,,,,,,,,0.0,2015-11-24 11:45:00,0 days 00:07:30,2015-11-24 12:07:30,-36.8,-7.295,12153.620599999898,129.6416,171.83100000000002,2016.0,2016.0,21.513799999987896,-42.421443965519146,-6.698739224138094,,,,
303,14,517.0,518.0,A269-1,11/25/15,10:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-55.1,643,-9.85,2,,,,,,,,,0.0,2015-11-25 10:50:00,518.0,519.0,C269-1,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-51.1,643,-9.19,2,,,,,,,,,0.0,2015-11-25 12:00:00,-1 days +23:25:00,2015-11-25 10:15:00,-53.1,-9.52,12159.7673999999,135.78840000000002,177.97780000000003,2016.0,2016.0,6.14680000000044,-42.90483539094844,-6.826450617284136,,,,
304,15,519.0,520.0,A270-1,12/3/15,10:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-37.1,643,-6.42,2,,,,,,,,,0.0,2015-12-03 10:30:00,520.0,521.0,C270-1,10:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,475,-33.0,643,-6.28,2,,,,,,,,,0.0,2015-12-03 10:40:00,-1 days +23:55:00,2015-12-03 10:25:00,-35.05,-6.35,12201.6773999999,177.69840000000002,219.88780000000003,2016.0,2016.0,41.909999999999854,-41.05227987421508,-6.714080188679373,,,,
