,total count_angelo,ERCZO ID_angelo,Original Sample Vial Label_angelo,Date Collected,Time Collected_angelo,Site_angelo,Location_angelo,Sample Type_angelo,Sample Type II_angelo,Tree Tag_angelo,Tree tag_angelo,Tree tag 2_angelo,Jasper's tree label_angelo,More text info 1_angelo,More text info 2_angelo,needs attention_angelo,Species (common)_angelo,Species (scientific)_angelo,Well water level (m)_angelo,Depth (m)_angelo,Depth (cm)_angelo,Depth (ft)_angelo,Gravimetric moisture content (g/g)_angelo,Collected by_angelo,Notes_angelo,Exclude?_angelo,dD Instrument_angelo,dO Instrument_angelo,HD run ID_angelo,dD_angelo,GB run ID_angelo,dO_angelo,Sample Vial Location_angelo,VMS Sleeve_angelo,VMS Port_angelo,Adjacent well groundwater depth at time of sampling (m)_angelo,Energetic State_angelo,Date collection started_angelo,Time collection started_angelo,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_angelo","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_angelo",FLAG_angelo,Extraction Method_angelo,datetime_angelo,total count_conger,ERCZO ID_conger,Original Sample Vial Label_conger,Time Collected_conger,Site_conger,Location_conger,Sample Type_conger,Sample Type II_conger,Tree Tag_conger,Tree tag_conger,Tree tag 2_conger,Jasper's tree label_conger,More text info 1_conger,More text info 2_conger,needs attention_conger,Species (common)_conger,Species (scientific)_conger,Well water level (m)_conger,Depth (m)_conger,Depth (cm)_conger,Depth (ft)_conger,Gravimetric moisture content (g/g)_conger,Collected by_conger,Notes_conger,Exclude?_conger,dD Instrument_conger,dO Instrument_conger,HD run ID_conger,dD_conger,GB run ID_conger,dO_conger,Sample Vial Location_conger,VMS Sleeve_conger,VMS Port_conger,Adjacent well groundwater depth at time of sampling (m)_conger,Energetic State_conger,Date collection started_conger,Time collection started_conger,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_conger","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_conger",FLAG_conger,Extraction Method_conger,datetime_conger,average_time_delta,average_datetime,average_dD,average_dO,cumRain,cumWYRain,cumSept_1_WYRain,waterYear,Sept_1_waterYear,previousRain,runningWeightedAvg_dD,runningWeightedAvg_dO
1402,9751.0,7161,A20211018 A509-1 0900,10/18/2021,9:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-56.6,802,-9.35,,,,,,,,,,,,2021-10-18 09:00:00,9735.0,7145,C20211018 C509-1 0910,9:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-56.6,802,-9.39,,,,,,,,,,,,2021-10-18 09:10:00,-1 days +23:55:00,2021-10-18 08:55:00,-56.6,-9.370000000000001,13239.501082603587,19.9123997092247,63.108798146247864,2022.0,2022.0,10.0,-56.6,-9.370000000000001
1398,9749.0,7159,A20211020 A510-1 1230,10/20/2021,12:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-38.1,802,-6.08,,,,,,,,,,,,2021-10-20 12:30:00,9755.0,7165,C20211020 C510-1 1240,12:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-34.5,802,-6.11,,,,,,,,,,,,2021-10-20 12:40:00,-1 days +23:55:00,2021-10-20 12:25:00,-36.3,-6.095000000000001,13269.325881187571,49.73719829320908,92.93359673023224,2022.0,2022.0,29.824798583984375,-41.39732647038764,-6.917351930567466
1382,9729.0,7139,A20211022 A511-1 0915,10/22/2021,9:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-33.6,802,-5.77,,,,,,,,,,,,2021-10-22 09:15:00,9739.0,7149,C20211022 C511-1 0925,9:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-31.6,802,-5.5,,,,,,,,,,,,2021-10-22 09:25:00,-1 days +23:55:00,2021-10-22 09:10:00,-32.6,-5.635,13364.646080915583,145.05739802122116,188.25379645824432,2022.0,2022.0,95.32019972801208,-35.192413771406606,-6.012886033419703
1406,9753.0,7163,A20211024 A512-1 1425,10/24/2021,14:25,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-28.0,802,-5.68,,,,,,,,,,,,2021-10-24 14:25:00,9737.0,7147,C20211024 C512-1 1415,14:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-31.1,802,-6.11,,,,,,,,,,,,2021-10-24 14:15:00,0 days 00:05:00,2021-10-24 14:30:00,-29.55,-5.895,13502.647471372737,283.0587884783745,326.25518691539764,2022.0,2022.0,138.00139045715332,-32.3417044887487,-5.95332662792763
1394,9747.0,7157,A20211025 A513-1 1105,10/25/2021,11:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-49.3,802,-7.77,,,,,,,,,,,,2021-10-25 11:05:00,9733.0,7143,C20211025 C513-1 1115,11:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-47.8,802,-7.73,,,,,,,,,,,,2021-10-25 11:15:00,-1 days +23:55:00,2021-10-25 11:00:00,-48.55,-7.75,13564.694067899836,345.1053850054741,388.30178344249725,2022.0,2022.0,62.04659652709961,-35.341974828803046,-6.28590359909972
1410,9759.0,7169,A20211026 A514-1 1050,10/26/2021,10:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-18.6,802,-4.47,,,,,,,,,,,,2021-10-26 10:50:00,9767.0,7177,C20211026 C514-1 1100,11:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-19.3,802,-4.55,,,,,,,,,,,,2021-10-26 11:00:00,-1 days +23:55:00,2021-10-26 10:45:00,-18.950000000000003,-4.51,13576.408867780818,356.82018488645554,400.0165833234787,2022.0,2022.0,11.714799880981445,-34.78843088145286,-6.225932747593061
1378,9725.0,7135,A20211101 A515-1 1220,11/1/2021,12:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-53.2,802,-7.72,,,,,,,,,,,,2021-11-01 12:20:00,9745.0,7155,C20211101 C515-1 1210,12:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-55.6,802,-7.79,,,,,,,,,,,,2021-11-01 12:10:00,0 days 00:05:00,2021-11-01 12:25:00,-54.400000000000006,-7.755,13602.908766452223,383.3200835578609,426.5164819948841,2022.0,2022.0,26.49989867140539,-36.180219580261294,-6.334447191733351
1428,9769.0,7179,A20211104 A516-1 1310,11/4/2021,13:10,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-29.3,802,-5.1,,,,,,,,,,,,2021-11-04 13:10:00,9727.0,7137,C20211104 C516-1 1320,13:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-28.2,802,-5.14,,,,,,,,,,,,2021-11-04 13:20:00,-1 days +23:55:00,2021-11-04 13:05:00,-28.75,-5.119999999999999,13655.988564196974,436.3998813026119,479.59627973963507,2022.0,2022.0,53.07979774475098,-35.255468984895934,-6.18329946972273
1432,9771.0,7181,A20211106 A517-1 1220,11/6/2021,12:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-30.4,802,-6.18,,,,,,,,,,,,2021-11-06 12:20:00,9723.0,7133,C20211106 C517-1 1230,12:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-26.8,802,-5.82,,,,,,,,,,,,2021-11-06 12:30:00,-1 days +23:55:00,2021-11-06 12:15:00,-28.6,-6.0,13671.957963172346,452.3692802779842,495.5656787150074,2022.0,2022.0,15.969398975372314,-35.01525610934657,-6.176683723663557
1436,9773.0,7183,A20211112 A518-1 1055,11/12/2021,10:55,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-64.8,802,-9.35,,,,,,,,,,,,2021-11-12 10:55:00,9743.0,7153,C20211112 C518-1 1105,11:05,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,634,-61.9,802,-8.94,,,,,,,,,,,,2021-11-12 11:05:00,-1 days +23:55:00,2021-11-12 10:50:00,-63.349999999999994,-9.145,13730.675661865622,511.08697897125967,554.2833774082828,2022.0,2022.0,58.71769869327545,-38.33495950845421,-6.524452161952885
